"","age","education","wantsMore","notUsing","using"
"1","<25","low","yes",53,6
"2","<25","low","no",10,4
"3","<25","high","yes",212,52
"4","<25","high","no",50,10
"5","25-29","low","yes",60,14
"6","25-29","low","no",19,10
"7","25-29","high","yes",155,54
"8","25-29","high","no",65,27
"9","30-39","low","yes",112,33
"10","30-39","low","no",77,80
"11","30-39","high","yes",118,46
"12","30-39","high","no",68,78
"13","40-49","low","yes",35,6
"14","40-49","low","no",46,48
"15","40-49","high","yes",8,8
"16","40-49","high","no",12,31
